expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
2.01557346241255	780	1200	240	520	261	195	1028	420	374	400	770	939	580	4217.995	120	90	564	852	1204	210	135	421.165	439	828	820	550	200	480	996	360	235
2.67755319221575	480	350	580	120	140	703.33	2232	480	390	1610	60	892.665	607	1891.5	30	90	952	220	885	275	75	340	320	300	888	241	140	240	646.5	120	287
3.94676060751626	878	1987.335	350	570	345	464	684	1378	614	1514	716	2758.83	658	732	140	0	508	614	717	487	155	660	524	466.5	530	465	175	1154	240	760	600
4.61369970598718	180	410	60	160	349	608.665	670	418	325	1588	360	694	290	966.995	60	60	743	460	407	60	25	604	290	174	958	255	162	480	120	230	487
5.76049671579198	180	1392	294	384	265	213.33	570	600	232	800	708.335	1060.75	612	1668.165	240	0	527	544	541	55	100	345	191.25	240	540	165	115	404	540	480	145
4.50438142613303	240	340	0	120	232	495	490	420	376	787.5	748	270	150	481	90	60	629	160	120	85	25	749	415	240	1008	200	90	480	420	1076	295
4.23121609951414	360	110	120	176	240	410	972	120	454	532	274	228	90	490	30	30	359	230	60	120	55	405	327	180	652	90	55	120	412	0	200
4.44531300501024	360	1020	294	836	229	251	550	940.5	484	770	470	815.5	330.335	399	30	30	257	574	368	210	25	438	210	580	688	60	60	1568	2068.5	482	175
11.4237827273352	830	3399.67	1747.165	7239.335	230	85	310	6046.665	400	2311	3634	1105	2927.915	25352.505	442	3483.415	6420.17	5868.335	2038.5	279	115	418	456	1772.67	1646	2474.25	60	2440	2466	3173.335	145
3.40877476729325	1066	4480.335	2138	5625.5	2680	195	320	2984	963	960	2834	6065.75	4427.335	24212.17	1160.25	143	737	4011	5170.25	240	155	519	341	2646	1884	822	220	4697.335	5476	2254.665	472
