expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
6.09866062708639	588	4401.5	580	5277.835	546	50	280	3692.165	398	580	2313.335	1236	2239.165	12145.335	210	644	893	3420	1916.5	258	25	621	210	1080.5	1418	168	283	3625	2262	3632.5	180
8.74989254032006	469.335	7340.835	900	6787.835	1228.5	140	300	3692.5	524	470	4583.5	5752	3187.75	16559.16	893	769.665	1450.5	3244	2616.5	25	115	503	551	1046.665	1534	2108.58	147	3576.335	2302	5340.835	282
5.37816313175276	418	1696	180	1553	628	200	270	2487.165	544	420	961	558	750	7084.41	210	130	1177.67	906	968	270	130	498	346	480	590	217	420	644	816	1092	355
8.48704424507391	702	4114.5	740	6353	314	185	60	2382	275	2111	3664	2073.5	3039.995	29874.99	1036	4325.92	7239.17	4032.665	2409.915	180	140	260	382	1132	1344.5	4085.835	82	1849.835	1288	6010	195
8.72560069859755	300	3906.5	576	4419	862	80	120	2624.5	320	1152	3387.5	2192.75	1464.415	6936.415	818	823	1016	1926.335	2222	395	80	440	115	686	1916	2618.665	230	2450.5	1952	4410.5	60
8.1973831659462	600	2110.5	360	828	928.5	470	390	992	626	526	1394	4019.84	1962.665	4852.91	1000.5	1044	962	1174	2722.665	314	25	553	295	702	1290	2957.835	120	1134	1348	1761	386
8.2703958315179	712	6831.5	1654	11712.5	650	228	230	5714.67	771	910	4999.165	2469	3885.5	30011.685	1236.5	2961.25	4085.25	9841.83	3026.5	180	80	822	481.25	2448.5	3392.665	3806.915	150	4048.5	4193.665	5871	284
4.58249708281515	180	290	240	0	55	280	1732.17	300	200	1054	110	671	640	3895.825	60	0	1652.665	300	704.165	230	410	304	90	290	480	256	234	60	180	0	347
7.10413217837259	300	3863	588	6631.665	970	219	220	2852.5	632	930	4444	3570.33	2045.5	18222.825	1859.75	1171	799	4856	2321.665	255	0	791	312	1322	2434.335	3089.165	30	4026	2375	4079.5	281
7.8573956769378	210	1624.665	173	2001	869.75	105	410	1191	520	760	961	2145.335	1404.5	19875.5	1054	298	760	1332	2276.415	198	75	495	420	500	915	1163	150	773	1281.335	1758.5	145
8.51684713154443	60	1760	240	444	617	25	60	824	645	360	972	4090.245	521	2866.415	1014.335	357	911	510	1555.665	115	60	444	150	60	842	6575.91	115	180	172	1726.835	167
4.85682344574802	360	290	230	220	295	220	760	300	222	590	60	2181	642	2168.335	60	120	1265.165	338	1396.665	155	105	459.165	120	180	900	847	175	180	300	300	345
6.04738754535848	826	4995	972	4629.67	1436.25	240	350	2675	660	736	2066	3339.25	3025.665	35531.755	2096.75	1556	1830	3931.5	2903	261	55	869	382	1246	1518	2158	193	1580	2218	3091	225
7.44004391554695	300	2747	536	5101.5	672	115	170	1330	368	880	2107	5468.085	3841.335	14936.235	1872.835	1043	2044.75	2122	3933.915	0	0	735	430.5	532	1564	8234.745	236	1352	900	2986.335	260
8.58473688001139	415	5586.005	543	6816.165	1525.25	265	870	18305.25	486	828	4434.5	3181.25	2610.08	16303.42	978	935	1223	3297.5	2389	412	55	577	175	1301.335	2764.58	2169.83	265	5092.08	2690.5	6047.33	394
7.87991203436396	888	5808.165	1048	9548.835	1141	168.33	330	6444.335	532	680	5819.5	2941	2008.585	16704.58	1448	543	882	5684	2344.33	524.75	55	711	485	2351.5	3732.335	985	145	4898.665	4033.83	7139.335	396
6.82279252939441	402	1330	516	1710	1290.165	398	268	980	570	900	1206.335	3510.915	990.165	8459.59	1169.25	205	689	1470.5	1778.085	426.25	30	674	507	900	1400	3277.5	90	1408	1991	1470	434
7.59812610904531	1227.335	7300.335	812	9063.165	863.75	170	200	5313.5	482	440	6566	2298.835	3464.415	19911.08	971	2512.83	2678.5	7900.165	2189.75	180	55	628	298	2182	2955	1838.165	150	4168.165	4280	9874.17	294.165
5.89275271323311	60	418	150	485	180	155	110	262	320	350	455	778	896	4092.335	349	210	400	319	690	170	25	360	400	234	360	349	90	323	386	518	55
6.26755342744875	300	2536.665	240	1807	578	60	170	1116	175	620	1052	1216.165	698.665	3770.005	347.5	60	458	1128	789	355	150	445	150	700	1050	150	145	1736	1823.5	1411.665	145
6.9259045795022	1107.335	4277.335	1080	7356.665	1880	367	170	2641.835	1060.165	2188	2822.335	4353.83	3740.25	18066.5	2304.415	1693.25	1815.5	6515.665	3092.165	401	105	795	445	1240	2932.5	1110	118	4822	3641	3561.335	522
7.26330859413041	650	3006.835	878	2916.5	1074	310	146	2434	413	988	2378.5	1800.25	1702.5	10674.25	833	583.25	1003	2925.335	1586.75	270	90	288	379	714	1962	1054.5	90	1894	2059	2441	120
7.24944246551242	660	5530.5	960	6631.5	1235.165	315	230	3667	468	500	3242.335	1771	3235.83	21405.325	1014.5	1042.165	1514	5281	2831	200	195	424	269	1930	2626	1692.585	180	2508	3245	5145	502
6.17351314998674	0	1700	408	2220	1022.58	80	260	1068	571.165	960	1184	3236.915	1775.75	8252.5	1054	374	590	1288	2446.08	90	55	722.25	379	830	1698	1293.5	180	1586.5	1550	2142	470
9.4475998235258	346	3626	738	5155.83	642.25	173	170	3229	556.75	770	3332	1655.165	1141	10550.755	732	2627	4556	4745	1116	265	50	492	233	1234	2079.5	2252.665	150	3263	3639	4216.665	258
7.05366351154955	420	3478	646	1620	1017	365	610	1958	500	676	1994.335	3161.58	1795.915	8440.33	766.665	354	837.75	1820	2429.995	240	130	400	290	1164	1582	2158.165	145	1575	2064	2824	210
5.44758399593744	180	300	0	0	90	300	1328.17	240	347	562	340	731	262	862	90	60	1598.75	120	355	178	80	674	385	240	454	542	205	0	180	270	205
9.1233626307845	420	5915.665	780	5713.33	966.665	230	520	4492.665	771	970	4739	3277.165	2630.75	20322.655	1027.25	1702.335	2812.835	3747.5	2590.665	533	245	720	435	1512	2916.165	1930.25	235	5054	5086.83	5472.835	224
5.19212873031522	180	60	60	120	505	30	240	60	260	960	350	556	95	234	294	90	546	120	458	60	105	295	90	480	1156	1566.665	60	240	180	60	335
9.15866647885433	660	8742.84	1128	9574.16	817	250	280	7447.335	750	472	6870.665	3593.83	3622.665	22589.33	2002.25	4552.665	8020.915	8598.165	2846.165	218	135	581	493	1557	2865.5	5687.085	210	3642.5	3512	9876.335	277
6.60299893388737	600	2818.835	1012	2862.5	882	230	390	1586	565	110	1914.335	1795.75	2272.585	12534.505	1400	765.25	657	2838	2183	370.165	50	747.5	220	928	2288	348	145	3894.665	4616	1808	145
7.43429872800018	702	8241.835	704	4723.335	864	492	110	3850	497	1202	4734.5	4422.33	2518.75	8900.075	1748.5	2024.415	2731.665	4379.5	2862.415	236	55	866	450	1144	3029	1793.835	290	3924.5	3294	9570.335	552
2.02821535030399	706	4084.835	1174	4820.5	2353	165	0	1622	368	924	2200	4404.75	2358.665	27580.665	1186.5	996.915	1751	3408.665	3301.75	295	150	593	240	1792	1756	1229	30	2928.5	4186.335	2066	322
4.67767129640213	300	110	120	0	320	470	696	120	376	1372	60	150	254	471	30	0	1119.665	220	230	848	401	459	348	120	550	198	282	120	60	0	378
6.54329726826164	240	1442	290	1096.335	685	85	214	1188	285	540	1034	3020.835	1051.75	8201.915	916	328	640.5	1025.5	1604	145	85	203	235	780	1576	2071.75	60	1619	1655.335	1216	115
6.18139975469821	120	2293	180	1018	628	185	730	1002	415	640	776	1391.165	1135.5	10535.58	300	180	560	1124	1331	235	55	380	360	650	1144	872.915	150	1070	948	1501	190
5.84779046227289	60	1210	0	992	977	106	240	240	520	760	746	5467.255	1116.75	2931	702.25	270	407	410	1495.25	150	55	1030	316	180	892	1644	266	806	1284.5	1812	270
7.53392897628896	414	2588	660	3668.5	715	332	386	3364.665	575	1074	2242	1001	1540.75	18061.655	899	270	331	2306	1714.25	366	135	653	223	654	780	557	120	2081	2068	1472	331
4.30935378608369	300	150	300	110	85	304	2458.335	120	400	945	180	783	325	1767.75	30	0	1497	410	433	180	105	439	265	360	540	324	327	0	120	60	345
5.09040719587442	120	230	60	300	116	170	2171	180	142	1252	170	849	264	2301.165	30	0	2152.25	110	567	260	533	420	387	120	346	1050	290	180	0	60	175
7.59379224174694	832	9286.67	1176	16022.5	583.665	85	416	7248.165	766	638	5838.835	1374.83	4132.415	25258.335	328	172	833.415	9536.165	2655.5	435	105	688.5	478	2619.835	3556	430	150	7037.67	6549.835	8354.665	486
7.97810354348834	296	2571	480	3067	983.5	279	382	2640	306	726	2405	3881.665	1461.665	7405	499	60	690.75	2405	2261	210	0	517	284	914	2316	2551.495	90	2154.5	1284	4181.5	341
6.33389755441305	636	10458.5	1092	13813.835	1490	275	202	6411	851	462	6035.335	2054.585	3068.33	38395.32	1523	2035.25	2510	11799.835	2701.165	281	151	888	375	1758	3178	1669	140	4962.5	5038.335	7868.5	290
6.42368842451684	300	4169.17	360	5721.5	1059.25	269	290	1792	709	750	2704.17	4122.915	2626.5	22539.755	1008.5	646	1493.25	5133.665	2813.085	90	105	580	542.665	830	1522	1836.5	230	1229	2194	2365.165	450
5.53599281649487	290	1348	238	1498.5	1342.25	195	500	885	672	1050	935	2328.665	2243.665	19477.745	1131	1075	1361	1115.25	3044.08	120	110	470	115	384	567	765	150	877.5	660	691	410
4.48468136800209	300	170	300	60	115	187	2043	120	215	730	60	585	310	1129.5	0	0	1185	160	392	335	155	475	380	180	408	235	120	60	60	0	165
7.86711699450355	360	3487	540	5212.67	897	190	430	2859	421	296	2477.335	2142.165	1319	18911.745	1089.165	924	971	4418.665	2034.835	172	140	605.665	332	1208.67	2368.335	830	265	2937.5	3259	3998.165	90
5.30177637726679	120	180	60	180	433	140	110	120	366	530	450	378	120	310	60	30	563	300	180	145	0	514	240	360	472	435	85	240	292	580	375
7.31620592593067	300	1981.335	650	3116.335	1359.165	225	160	1218	457.5	580	1782	7376.995	3133.5	8657.835	2294	1777	1442.5	2087	2838	60	55	689.75	230	580	1358	2689.835	200	1624	1946	2207.67	405.165
6.90955266271978	751	5485.665	1044	9896.33	1233.5	225	330	3252.165	507	340	3997.335	2365.83	2136.665	17478.085	1473.25	973.835	529	9029.17	2436	145	0	666	630.165	2966	3594.67	1788.665	50	4958.5	5545.335	4936	317
7.28070063890498	360	1826	420	1264	912	225	400	1012	722	546	1070	5849.08	1566	6469	1409	551.5	1058.25	1578	2527.58	260	25	1015.665	792	420	1426	11426.91	226	540	820	1846	484
9.68590973375726	934	12065.665	1232	12206.835	1078	160	270	11876.84	753	350	11571.83	3368.25	2001.25	24933.755	1081.25	4572.745	6485.75	11911.34	3258.915	338	110	940	330	2166	6884	3550.33	115	6592.165	4802	22966	250
10.1149916271933	270	2016.25	460	2233.75	590	244	424	1501.75	762	1282	889	1311	3494.085	20308.41	508	90	660	1538.5	2218.835	205	105	879	258.75	383	847.915	2932	110	1020	1136.665	873	253
3.59006551831918	180	180	120	60	105	280	2338	120	366	1134	0	116	30	614	90	30	2871.5	240	281	580	1013.5	502	287	180	688.5	195	1484.165	120	180	60	230
4.07533162304017	300	0	120	300	60	333	2360	300	445	918	120	325	205	1331.665	60	30	1179	400	314	385	382	388	291	300	360	175	120	360	480	50	438
3.67640446398885	300	240	300	240	55	225	1834	240	285	540	230	872.25	569	2389	0	0	1446.5	120	772	205	140	371	322	420	300	994	337	0	360	120	320
5.86677112715019	300	1967	240	1296	837	260	450	540	475	802	928	1686.915	1528.5	14490.59	682	236	1201	900	3063.835	145	0	490	360	460	1272	3140.665	83	766	1286	1120	235
6.8220143673368	480	6425.835	540	8074.5	568	60	160	6773.335	820	410	4012.5	2059.165	1852.08	14584.83	459.25	330	652	4838	2511.915	295	90	860	330	1322	2004.5	1592	85	3141	2472	5544	186
5.96590824914876	988	8340.005	1076	14731.335	734.25	311	220	6576.5	308	1344	5602.335	1213.5	1946.75	20413.16	656	382	1492.5	13676.83	1839.5	235	100	445	350	2475	4536.835	110	115	6716.165	5927	7707.835	115
8.97847073386614	360	7775.165	565.335	10748.335	1051.5	85	220	4774.33	1143	350	5225.5	4465	2697.835	36245.745	1101	2535.58	3625.25	11414.165	3137.415	346	125	675	325	1469	2657	4314.165	120	3210.665	2890	6971.84	140
4.50433663038918	240	60	60	120	150	285	1784	180	380	280	0	318	139	466	30	0	1449	330	300	204	190	502	373	60	738	175	210	0	120	120	230
